kota,kecamatan,kelurahan,isJakarta,deskripsi
Banjarnegara,Banjarmangu,Banjarkulon,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Banjarmangu,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Beji,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Gripit,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Jenggawur,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Kalilunjar,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Kendaga,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Kesenet,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Majatengah,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Paseh,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Pekandangan,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Prendengan,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Rejasari,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Sigeblok,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Sijenggung,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Sijeruk,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarmangu,Sipedang,false,"Wilayah Banjarnegara dengan aktivitas pertanian, pemukiman, dan perdagangan lokal."
Banjarnegara,Banjarnegara,Ampelsari,false,"Pusat pemerintahan dan perkotaan Kabupaten Banjarnegara dengan aktivitas perdagangan, jasa, dan pemukiman."
