id,slug,title,category,price,unit,image,description,fitur
1,deterjen-cair-matic-premium,Deterjen Cair Matic Premium 5L,Sabun Laundry,45000,Jerigen 5L,https://images.unsplash.com/photo-1545173168-9f1947eebb7f?auto=format&fit=crop&w=600&q=80,"Deterjen konsentrat khusus mesin cuci bukaan depan (front load) dan atas (top load). Busa rendah, efektif mengangkat noda membandel tanpa merusak serat kain dan anti karat drum mesin.",Formula Busa Terkendali|Anti Apek & Anti Bakteri|Ramah Lingkungan|Konsentrat Hemat Takaran
2,parfum-laundry-grade-a-philux,Parfum Laundry Grade A Philux 5L,Parfum Laundry,95000,Jerigen 5L,https://images.unsplash.com/photo-1616046229478-9901c5536a45?auto=format&fit=crop&w=600&q=80,"Pewangi finishing pakaian grade super dengan pelarut murni bebas air. Aroma elegan mewah khas hotel bintang lima, mengunci keharuman hingga 14 hari.",100% Bibit Parfum Murni|Bebas Noda Kuning di Baju|Wangi Tahan 14 Hari|Cepat Kering Saat Finishing
3,parfum-laundry-sakura-blossom,Parfum Laundry Sakura Blossom 5L,Parfum Laundry,95000,Jerigen 5L,https://images.unsplash.com/photo-1558877385-81a1c7e67d72?auto=format&fit=crop&w=600&q=80,"Parfum finishing laundry aroma floral segar khas bunga sakura Jepang. Sangat disukai konsumen laundry kiloan keluarga dan mahasiswa.",Aroma Segar & Menenangkan|Formula Grade A Premium|Tidak Berbekas di Serat Kain|Efek Long Lasting
4,parfum-laundry-ocean-fresh,Parfum Laundry Ocean Fresh 5L,Parfum Laundry,95000,Jerigen 5L,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&w=600&q=80,"Pewangi pakaian dengan karakter aroma segar semilir laut yang maskulin, sejuk, dan tahan lama di lemari.",Bibit Parfum Import Grade A|Aroma Maskulin & Segar|Anti Apek Ruangan Tertutup|Waterless Formula
5,softener-ultra-pelembut-pakaian,Softener Ultra Pelembut & Pewangi 5L,Sabun Laundry,48000,Jerigen 5L,https://images.unsplash.com/photo-1517677208171-0bc6725a3e60?auto=format&fit=crop&w=600&q=80,"Pelembut pakaian dengan formula kondisioner serat kain. Membuat serat pakaian mengembang empuk, halus, dan mempermudah proses setrika.",Serat Kain Lebih Lembut|Menetralkan Sisa Deterjen|Menyetrika Jauh Lebih Cepat|Kemasan 5 Liter Ekonomis
6,pelicin-pewangi-setrika-trika,Pelicin & Pewangi Setrika Trika 5L,Sabun Laundry,38000,Jerigen 5L,https://images.unsplash.com/photo-1582735689369-4fe89db7114c?auto=format&fit=crop&w=600&q=80,"Cairan pelicin setrika uap dan setrika listrik. Pakaian langsung licin rapi seketika tanpa menimbulkan kerak atau noda putih pada pakaian gelap.",Licin Sekali Usap|Wangi Segar Tahan Panas|Bebas Kerak Setrika|Hemat Penggunaan
7,karbol-wangi-sereh-pine,Karbol Wangi Sereh Alami 5L,Kimia Pembersih,40000,Jerigen 5L,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&w=600&q=80,"Cairan pembersih lantai dan desinfektan alami mengandung minyak sereh murni. Efektif mengusir nyamuk, lalat, dan menghilangkan bau tak sedap.",Minyak Sereh Alami|Disinfektan Pembunuh Kuman|Usir Serangga & Nyamuk|Lantai Bersih Kesat
8,alkali-booster-penghilang-noda,Alkali Booster Pengangkat Noda Berat 5L,Kimia Laundry,52000,Jerigen 5L,https://images.unsplash.com/photo-1600121848594-d8644e57abab?auto=format&fit=crop&w=600&q=80,"Cairan penguat deterjen untuk membuka pori-pori serat kain dan merontokkan noda membandel seperti darah, lemak, minyak, dan daki pada kerah baju.",Membuka Serat Kain Keras|Merontokkan Lemak & Minyak|Aman untuk Mesin Cuci|Dosis Efisien
9,shampoo-cuci-karpet-low-foam,Shampoo Cuci Karpet Foam Active 5L,Kimia Laundry,58000,Jerigen 5L,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=600&q=80,"Formula khusus pencucian karpet kantor, karpet bulu tebal, dan karpet masjid. Mengangkat kotoran mendalam tanpa membuat bulu karpet kaku.",Formula Khusus Karpet|Mengangkat Debu Mendalam|Bulu Karpet Tetap Halus|Aroma Harum Tahan Lama
10,sour-penetral-ph-laundry,Sour Penetral pH & Anti Karat 5L,Kimia Laundry,45000,Jerigen 5L,https://images.unsplash.com/photo-1545173168-9f1947eebb7f?auto=format&fit=crop&w=600&q=80,"Cairan penetral sisa deterjen dan klorin pada air bilasan terakhir. Mencegah pakaian menguning dan merawat keawetan serat kain.",Menetralkan pH Air Bilasan|Mencegah Kain Menguning|Aman untuk Kulit Sensitif|Melindungi Drum Mesin
11,sabun-cuci-piring-ekonomis,Sabun Cuci Piring Jeruk Nipis 5L,Kimia Pembersih,35000,Jerigen 5L,https://images.unsplash.com/photo-1582735689369-4fe89db7114c?auto=format&fit=crop&w=600&q=80,"Cairan pencuci piring formula busa tebal dengan ekstrak jeruk nipis. Cepat meluruhkan lemak membandel dan bau amis pada perabot dapur.",Ekstrak Jeruk Nipis Alami|Busa Tebal Cepat Kesat|Lembut di Tangan|Kemasan Jerigen Hemat
