provinsi,kabupaten_kota,jenis,kecamatan
DKI Jakarta,Jakarta Pusat,Kota,Gambir
DKI Jakarta,Jakarta Pusat,Kota,Tanah Abang
DKI Jakarta,Jakarta Pusat,Kota,Menteng
DKI Jakarta,Jakarta Selatan,Kota,Kebayoran Baru
DKI Jakarta,Jakarta Selatan,Kota,Setiabudi
DKI Jakarta,Jakarta Selatan,Kota,Cilandak
DKI Jakarta,Jakarta Barat,Kota,Kembangan
DKI Jakarta,Jakarta Barat,Kota,Grogol Petamburan
DKI Jakarta,Jakarta Timur,Kota,Jatinegara
DKI Jakarta,Jakarta Utara,Kota,Penjaringan
Jawa Barat,Kota Bandung,Kota,Coblong
Jawa Barat,Kota Bandung,Kota,Sumur Bandung
Jawa Barat,Kota Bandung,Kota,Bandung Wetan
Jawa Barat,Kota Bekasi,Kota,Bekasi Selatan
Jawa Barat,Kota Bekasi,Kota,Bekasi Barat
Jawa Barat,Kota Depok,Kota,Pancasoran Mas
Jawa Barat,Kota Bogor,Kota,Bogor Tengah
Jawa Timur,Kota Surabaya,Kota,Tegalsari
Jawa Timur,Kota Surabaya,Kota,Gubeng
Jawa Timur,Kota Surabaya,Kota,Wonokromo
Jawa Timur,Kota Malang,Kota,Klojen
Jawa Tengah,Kota Semarang,Kota,Semarang Tengah
Jawa Tengah,Kota Solo,Kota,Banjarsari
DI Yogyakarta,Kota Yogyakarta,Kota,Danurejan
DI Yogyakarta,Kota Yogyakarta,Kota,Gondokusuman
DI Yogyakarta,Kota Yogyakarta,Kota,Umbulharjo
DI Yogyakarta,Kabupaten Sleman,Kabupaten,Depok
DI Yogyakarta,Kabupaten Bantul,Kabupaten,Banguntapan
Banten,Kota Tangerang,Kota,Tangerang
Banten,Kota Tangerang Selatan,Kota,Serpong
Sumatera Utara,Kota Medan,Kota,Medan Petisah
Sumatera Selatan,Kota Palembang,Kota,Ilir Barat I
Riau,Kota Pekanbaru,Kota,Pekanbaru Kota
Kepulauan Riau,Kota Batam,Kota,Batam Kota
Bali,Kota Denpasar,Kota,Denpasar Selatan
Sulawesi Selatan,Kota Makassar,Kota,Ujung Pandang
Kalimantan Timur,Kota Balikpapan,Kota,Balikpapan Kota
