kota,kecamatan,kelurahan,isJakarta,deskripsi
Purbalingga,Bobotsari,Banjarsari,false,Pusat perdagangan dan jasa wilayah utara Purbalingga dengan kebutuhan produk laundry dan pembersih rumah tangga.
Purbalingga,Bobotsari,Bobotsari,false,Pusat perdagangan dan jasa wilayah utara Purbalingga dengan kebutuhan produk laundry dan pembersih rumah tangga.
Purbalingga,Bobotsari,Dagan,false,Pusat perdagangan dan jasa wilayah utara Purbalingga dengan kebutuhan produk laundry dan pembersih rumah tangga.
Purbalingga,Bobotsari,Gunungkarang,false,Pusat perdagangan dan jasa wilayah utara Purbalingga dengan kebutuhan produk laundry dan pembersih rumah tangga.
Purbalingga,Bobotsari,Karangtalun,false,Pusat perdagangan dan jasa wilayah utara Purbalingga dengan kebutuhan produk laundry dan pembersih rumah tangga.
Purbalingga,Bobotsari,Limbasari,false,Pusat perdagangan dan jasa wilayah utara Purbalingga dengan kebutuhan produk laundry dan pembersih rumah tangga.
Purbalingga,Bobotsari,Majapura,false,Pusat perdagangan dan jasa wilayah utara Purbalingga dengan kebutuhan produk laundry dan pembersih rumah tangga.
Purbalingga,Bobotsari,Palumbungan,false,Pusat perdagangan dan jasa wilayah utara Purbalingga dengan kebutuhan produk laundry dan pembersih rumah tangga.
Purbalingga,Bobotsari,Palumbungan Wetan,false,Pusat perdagangan dan jasa wilayah utara Purbalingga dengan kebutuhan produk laundry dan pembersih rumah tangga.
Purbalingga,Bobotsari,Pakuncen,false,Pusat perdagangan dan jasa wilayah utara Purbalingga dengan kebutuhan produk laundry dan pembersih rumah tangga.
Purbalingga,Bobotsari,Talagening,false,Pusat perdagangan dan jasa wilayah utara Purbalingga dengan kebutuhan produk laundry dan pembersih rumah tangga.
Purbalingga,Bobotsari,Tlagayasa,false,Pusat perdagangan dan jasa wilayah utara Purbalingga dengan kebutuhan produk laundry dan pembersih rumah tangga.
Purbalingga,Bojongsari,Bojongsari,false,Kawasan penyangga Purbalingga dengan pemukiman dan aktivitas usaha yang berkembang.
Purbalingga,Bojongsari,Brobot,false,Kawasan penyangga Purbalingga dengan pemukiman dan aktivitas usaha yang berkembang.
Purbalingga,Bojongsari,Bumisari,false,Kawasan penyangga Purbalingga dengan pemukiman dan aktivitas usaha yang berkembang.
Purbalingga,Bojongsari,Galuh,false,Kawasan penyangga Purbalingga dengan pemukiman dan aktivitas usaha yang berkembang.
Purbalingga,Bojongsari,Gembong,false,Kawasan penyangga Purbalingga dengan pemukiman dan aktivitas usaha yang berkembang.
Purbalingga,Bojongsari,Kajongan,false,Kawasan penyangga Purbalingga dengan pemukiman dan aktivitas usaha yang berkembang.
Purbalingga,Bojongsari,Karangbanjar,false,Kawasan penyangga Purbalingga dengan pemukiman dan aktivitas usaha yang berkembang.
Purbalingga,Bojongsari,Metenggeng,false,Kawasan penyangga Purbalingga dengan pemukiman dan aktivitas usaha yang berkembang.
Purbalingga,Bojongsari,Munjul,false,Kawasan penyangga Purbalingga dengan pemukiman dan aktivitas usaha yang berkembang.
Purbalingga,Bojongsari,Panjeng,false,Kawasan penyangga Purbalingga dengan pemukiman dan aktivitas usaha yang berkembang.
Purbalingga,Bojongsari,Pekalongan,false,Kawasan penyangga Purbalingga dengan pemukiman dan aktivitas usaha yang berkembang.
Purbalingga,Bojongsari,Purbayasa,false,Kawasan penyangga Purbalingga dengan pemukiman dan aktivitas usaha yang berkembang.
Purbalingga,Bukateja,Bajong,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Bukateja,Bukateja,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Bukateja,Kebutuh,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Bukateja,Kembangan,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Bukateja,Kecitran,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Bukateja,Kedungjati,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Bukateja,Kiarapedes,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Bukateja,Krenceng,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Bukateja,Limbangan,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Bukateja,Majasari,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Bukateja,Panunggalan,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Bukateja,Tidu,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Bukateja,Wirasaba,false,Wilayah perdagangan dan pertanian di bagian timur Purbalingga dengan kebutuhan produk rumah tangga.
Purbalingga,Kaligondang,Brecek,false,"Wilayah timur Purbalingga dengan aktivitas pertanian, perdagangan, dan usaha masyarakat."
Purbalingga,Kaligondang,Cilapar,false,"Wilayah timur Purbalingga dengan aktivitas pertanian, perdagangan, dan usaha masyarakat."
