Nama_Kabupaten_Kota,Jenis,Nama_Kecamatan_Kemantren,Nama_Desa_Kelurahan
Kota Yogyakarta,Kota,Danurejan,Bausasran
Kota Yogyakarta,Kota,Danurejan,Tegal Panggung
Kota Yogyakarta,Kota,Danurejan,Suryatmajan
Kota Yogyakarta,Kota,Gedongtengen,Sosromenduran
Kota Yogyakarta,Kota,Gedongtengen,Pringgokusuman
Kota Yogyakarta,Kota,Gondokusuman,Baciro
Kota Yogyakarta,Kota,Gondokusuman,Demangan
Kota Yogyakarta,Kota,Gondokusuman,Klitren
Kota Yogyakarta,Kota,Gondokusuman,Kotabaru
Kota Yogyakarta,Kota,Gondokusuman,Terban
Kota Yogyakarta,Kota,Gondomanan,Ngupasan
Kota Yogyakarta,Kota,Gondomanan,Prawirodirjan
Kota Yogyakarta,Kota,Jetis,Bumijo
Kota Yogyakarta,Kota,Jetis,Cokrodiningratan
Kota Yogyakarta,Kota,Jetis,Gowongan
Kota Yogyakarta,Kota,Kotagede,Prenggan
Kota Yogyakarta,Kota,Kotagede,Purbayan
Kota Yogyakarta,Kota,Kotagede,Rejowinangun
Kota Yogyakarta,Kota,Kraton,Kadipaten
Kota Yogyakarta,Kota,Kraton,Patehan
Kota Yogyakarta,Kota,Kraton,Panembahan
Kota Yogyakarta,Kota,Mantrijeron,Gedongkiwo
Kota Yogyakarta,Kota,Mantrijeron,Suryodiningratan
Kota Yogyakarta,Kota,Mantrijeron,Mantrijeron
Kota Yogyakarta,Kota,Mergangsan,Brontokusuman
Kota Yogyakarta,Kota,Mergangsan,Keparakan
Kota Yogyakarta,Kota,Mergangsan,Wirogunan
Kota Yogyakarta,Kota,Ngampilan,Ngampilan
Kota Yogyakarta,Kota,Ngampilan,Notoprajan
Kota Yogyakarta,Kota,Pakualaman,Gunungketur
Kota Yogyakarta,Kota,Pakualaman,Purwokinanti
Kota Yogyakarta,Kota,Tegalrejo,Bener
Kota Yogyakarta,Kota,Tegalrejo,Karangwaru
Kota Yogyakarta,Kota,Tegalrejo,Kricak
Kota Yogyakarta,Kota,Tegalrejo,Tegalrejo
Kota Yogyakarta,Kota,Umbulharjo,Giwangan
Kota Yogyakarta,Kota,Umbulharjo,Kamal
Kota Yogyakarta,Kota,Umbulharjo,Muja Muju
Kota Yogyakarta,Kota,Umbulharjo,Pandeyan
Kota Yogyakarta,Kota,Umbulharjo,Semaki
Kota Yogyakarta,Kota,Umbulharjo,Tahunan
Kota Yogyakarta,Kota,Umbulharjo,Warungboto
Kota Yogyakarta,Kota,Wirobrajan,Pakuncen
Kota Yogyakarta,Kota,Wirobrajan,Patangpuluhan
Kota Yogyakarta,Kota,Wirobrajan,Wirobrajan
Kabupaten Bantul,Kabupaten,Bambanglipuro,Mulyodadi
Kabupaten Bantul,Kabupaten,Bambanglipuro,Sidomulyo
Kabupaten Bantul,Kabupaten,Bambanglipuro,Sumbermulyo
Kabupaten Bantul,Kabupaten,Banguntapan,Banguntapan
Kabupaten Bantul,Kabupaten,Banguntapan,Baturetno
Kabupaten Bantul,Kabupaten,Banguntapan,Jagalan
Kabupaten Bantul,Kabupaten,Banguntapan,Jambidan
Kabupaten Bantul,Kabupaten,Banguntapan,Potorono
Kabupaten Bantul,Kabupaten,Banguntapan,Singosaren
Kabupaten Bantul,Kabupaten,Banguntapan,Tamanan
Kabupaten Bantul,Kabupaten,Banguntapan,Wirokerten
Kabupaten Bantul,Kabupaten,Bantul,Bantul
Kabupaten Bantul,Kabupaten,Bantul,Palbapang
Kabupaten Bantul,Kabupaten,Bantul,Ringinharjo
Kabupaten Bantul,Kabupaten,Bantul,Sabdodadi
Kabupaten Bantul,Kabupaten,Bantul,Trirenggo
Kabupaten Bantul,Kabupaten,Dlingo,Dlingo
Kabupaten Bantul,Kabupaten,Dlingo,Jatimulyo
Kabupaten Bantul,Kabupaten,Dlingo,Mangunan
Kabupaten Bantul,Kabupaten,Dlingo,Muntuk
Kabupaten Bantul,Kabupaten,Dlingo,Temuwuh
Kabupaten Bantul,Kabupaten,Dlingo,Terong
